Wedstrijdnummer;Wedstrijddatum (niet geformatteerd);Aanvangstijd;Aanduiding;Thuis team;Uit team;Sport omschrijving;Veld;Accommodatie naam;Plaats;Bondsofficials
6636;01-03-13;21:00;1101 Mannen  Zaal (landelijk);Counters (The) 1;Hercules 1;Zaal WK;De Sprong veld 1;Sprong de;KOOG AAN DE ZAAN;W.B. Visser (Scheidsrechter), I.P. van Galen (Secretaris AV)
36834;28-02-13;21:05;1214 Mannen Zaal recreatie;Hercules 8;Voorwaarts 4;Zaal WK;Hercules veld 1;Hercules;UTRECHT;
20206;02-03-13;14:30;0220 A-Junioren (district);Hercules A1;IJsselmeervogels A1;Veld ZA;5e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;S. Jellema (Scheidsrechter)
53972;27-02-13;20:10;1314 Vrouwen Zaal recreatie;Vreeswijk VR1;Hercules VR6;Zaal WK;Helsdingen veld 1;Helsdingen;VIANEN ZH;
176316;02-03-13;14:30;225 Meisjes A-Junioren (voorjaar);Hercules MA1;Eemnes MA1;Veld ZA;4e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;
14852;02-03-13;15:00;0212 Mannen Zaterdag standaard;Vliegdorp 't 1;Hercules 1;Veld ZA;1e veld licht;"Sportpark ""Kerklaan"" - 't  Vliegdorp";SOESTERBERG;P. Ambachtsheer (Scheidsrechter)
124;03-03-13;14:00;0512 Mannen Zondag standaard;JOS/W'graafsmeer 1;Hercules 1;Veld ZO;1e veld;"Sportpark ""Drieburg"" - Jos W'meer";AMSTERD
